quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date
2100300121202012,23.75,6.051,13,24,8,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202132,15.476,4.554,24,23,5,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120333110,24.605,9.143,15,32,9,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121200322,34.707,7.904,19,48,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202321,37.302,6.41,10,11,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120333112,15.981,3.144,24,32,9,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202322,20.619,5.788,40,14,11,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220201,46.574,6.215,15,46,9,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331302,14.383,4.923,21,9,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202323,6.887,2.325,36,2,2,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331321,11.086,0.605,94,3,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331320,7.432,6.239,18,1,1,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220032,29.868,3.407,14,3,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331330,20.669,2.123,9,1,1,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220102,4.225,1.04,18,3,2,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120301001,19.6,4.768,17,10,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123103,24.404,3.031,17,40,6,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123310,18.499,3.796,20,25,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123122,20.954,4.102,25,79,23,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301023,27.208,4.049,17,41,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301013,23.798,10.472,12,158,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300210,21.138,2.427,10,17,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301130,10.803,2.209,18,151,6,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123321,26.047,2.88,41,8,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123012,17.861,3.484,23,10,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301131,10.729,3.873,33,7,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301021,13.916,5.935,72,13,7,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123312,33.33,4.206,13,31,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122313,34.217,5.76,15,8,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300130,18.641,2.072,20,35,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123303,29.609,5.253,11,16,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301113,28.95,18.276,89,18,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123210,6.744,7.503,102,15,12,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123001,16.241,6.583,14,21,11,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123211,8.836,3.848,44,16,12,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123301,17.336,2.359,11,26,11,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123231,10.908,11.657,33,7,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301103,31.944,14.684,16,69,15,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123000,19.568,4.34,11,21,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301032,24.15,4.691,14,44,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300203,21.72,3.495,175,64,11,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301012,20.284,5.693,17,23,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123322,11.523,3.577,107,9,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121203,65.115,3.899,15,109,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120310002,19.359,8.712,39,22,13,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301020,27.672,4.66,15,61,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123130,22.66,4.015,19,20,7,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300131,18.6,2.465,37,25,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301010,21.9,5.427,10,12,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120310020,29.849,4.353,41,51,15,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123100,33.83,3.893,10,7,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123320,64.001,7.181,33,7,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301030,35.447,3.176,25,18,10,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121223,12.601,3.836,24,9,7,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123300,28.486,4.257,19,13,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123121,28.421,3.809,81,45,12,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300301,17.08,2.771,48,28,5,CALLAO,2019,1,2019Q1,2019-01-01
